sample_id,label,folder_rel,group_key,sample_kind,frame_count,frame_paths
inaction/(10)::0,inaction,inaction/(10),0,prefixed_8,8,"[""inaction/(10)/0_im1.jpg"", ""inaction/(10)/0_im2.jpg"", ""inaction/(10)/0_im3.jpg"", ""inaction/(10)/0_im4.jpg"", ""inaction/(10)/0_im5.jpg"", ""inaction/(10)/0_im6.jpg"", ""inaction/(10)/0_im7.jpg"", ""inaction/(10)/0_im8.jpg""]"
inaction/(10)::1,inaction,inaction/(10),1,prefixed_8,8,"[""inaction/(10)/1_im1.jpg"", ""inaction/(10)/1_im2.jpg"", ""inaction/(10)/1_im3.jpg"", ""inaction/(10)/1_im4.jpg"", ""inaction/(10)/1_im5.jpg"", ""inaction/(10)/1_im6.jpg"", ""inaction/(10)/1_im7.jpg"", ""inaction/(10)/1_im8.jpg""]"
inaction/(10)::2,inaction,inaction/(10),2,prefixed_8,8,"[""inaction/(10)/2_im1.jpg"", ""inaction/(10)/2_im2.jpg"", ""inaction/(10)/2_im3.jpg"", ""inaction/(10)/2_im4.jpg"", ""inaction/(10)/2_im5.jpg"", ""inaction/(10)/2_im6.jpg"", ""inaction/(10)/2_im7.jpg"", ""inaction/(10)/2_im8.jpg""]"
inaction/(10)::3,inaction,inaction/(10),3,prefixed_8,8,"[""inaction/(10)/3_im1.jpg"", ""inaction/(10)/3_im2.jpg"", ""inaction/(10)/3_im3.jpg"", ""inaction/(10)/3_im4.jpg"", ""inaction/(10)/3_im5.jpg"", ""inaction/(10)/3_im6.jpg"", ""inaction/(10)/3_im7.jpg"", ""inaction/(10)/3_im8.jpg""]"
inaction/(11)::0,inaction,inaction/(11),0,prefixed_8,8,"[""inaction/(11)/0_im1.jpg"", ""inaction/(11)/0_im2.jpg"", ""inaction/(11)/0_im3.jpg"", ""inaction/(11)/0_im4.jpg"", ""inaction/(11)/0_im5.jpg"", ""inaction/(11)/0_im6.jpg"", ""inaction/(11)/0_im7.jpg"", ""inaction/(11)/0_im8.jpg""]"
inaction/(11)::1,inaction,inaction/(11),1,prefixed_8,8,"[""inaction/(11)/1_im1.jpg"", ""inaction/(11)/1_im2.jpg"", ""inaction/(11)/1_im3.jpg"", ""inaction/(11)/1_im4.jpg"", ""inaction/(11)/1_im5.jpg"", ""inaction/(11)/1_im6.jpg"", ""inaction/(11)/1_im7.jpg"", ""inaction/(11)/1_im8.jpg""]"
inaction/(12)::0,inaction,inaction/(12),0,prefixed_8,8,"[""inaction/(12)/0_im1.jpg"", ""inaction/(12)/0_im2.jpg"", ""inaction/(12)/0_im3.jpg"", ""inaction/(12)/0_im4.jpg"", ""inaction/(12)/0_im5.jpg"", ""inaction/(12)/0_im6.jpg"", ""inaction/(12)/0_im7.jpg"", ""inaction/(12)/0_im8.jpg""]"
inaction/(12)::1,inaction,inaction/(12),1,prefixed_8,8,"[""inaction/(12)/1_im1.jpg"", ""inaction/(12)/1_im2.jpg"", ""inaction/(12)/1_im3.jpg"", ""inaction/(12)/1_im4.jpg"", ""inaction/(12)/1_im5.jpg"", ""inaction/(12)/1_im6.jpg"", ""inaction/(12)/1_im7.jpg"", ""inaction/(12)/1_im8.jpg""]"
inaction/(13)::0,inaction,inaction/(13),0,prefixed_8,8,"[""inaction/(13)/0_im1.jpg"", ""inaction/(13)/0_im2.jpg"", ""inaction/(13)/0_im3.jpg"", ""inaction/(13)/0_im4.jpg"", ""inaction/(13)/0_im5.jpg"", ""inaction/(13)/0_im6.jpg"", ""inaction/(13)/0_im7.jpg"", ""inaction/(13)/0_im8.jpg""]"
inaction/(13)::1,inaction,inaction/(13),1,prefixed_8,8,"[""inaction/(13)/1_im1.jpg"", ""inaction/(13)/1_im2.jpg"", ""inaction/(13)/1_im3.jpg"", ""inaction/(13)/1_im4.jpg"", ""inaction/(13)/1_im5.jpg"", ""inaction/(13)/1_im6.jpg"", ""inaction/(13)/1_im7.jpg"", ""inaction/(13)/1_im8.jpg""]"
