duplicate_cluster_id,duplicate_count,folder_count,label_count,labels,cross_label_duplicate
md5::0025f752ceb9c784586c7a8acb2e20a3,2,1,1,work,False
md5::009d9c9187aafacf91f394ba8f8cfd2a,2,1,1,work,False
md5::00d12d7237159c313fd4ec8300f3d785,2,1,1,work,False
md5::012f971d10a746035a0c5b648484e9a8,2,1,1,inaction,False
md5::018fcf26641878836c49169a2d970c6c,2,1,1,work,False
md5::02228cec007f3caec2060bac006d8fe9,2,1,1,work,False
md5::0286e0252a9c3347065b6634f60bc5d9,2,1,1,inaction,False
md5::02ee011c4ef5d90cbc8d416f8e29b052,2,1,1,work,False
md5::0355410a143eba38202cfef7186556b2,2,1,1,work,False
md5::03fae0ca43d6a52c4ddc0d27b1f12317,2,1,1,work,False
md5::0446732fd8d0e985bebfcb386205b609,2,1,1,work,False
md5::045454ec8b6400364f66e08237265e3d,2,2,2,"inaction,work",True
md5::048e3bccb1ed35b174d8218fcd0ca750,2,1,1,work,False
md5::04c93cbcc67585d49224b9c190330dc7,2,1,1,work,False
md5::062985e4eb756066532967dec49886b9,2,1,1,work,False
md5::078cb2bc760595b643d11478ee029f22,2,1,1,work,False
md5::0875c4c3ed25f38ef2556f6bd6743a05,2,1,1,work,False
md5::088444680e4a07fa3e331f9fd0f6b462,2,2,2,"inaction,work",True
md5::09bf7eb2546b0547fa68b88dd4af5e5d,2,1,1,work,False
md5::09cfae286f71f1f5b36cc19483f06752,2,1,1,inaction,False
md5::0a6e9c9af18050f0bc3bc86abfb0da9e,2,2,2,"inaction,work",True
md5::0afa7451a235160fb6248c3cbf635017,2,1,1,work,False
md5::0b402ba7fb106dbf128adfe7316c9730,2,1,1,work,False
md5::0b92fe6acc62853ad3642844b7f2288d,2,2,2,"inaction,work",True
md5::0c8c1fd215d5f0c5675c66ce3a427956,2,1,1,work,False
md5::0df70a3ffe8819cd192b4f5b62843ff4,2,1,1,work,False
md5::0ee650f3beaee205b62a77836c095b6c,2,1,1,work,False
md5::116a337d9130fc992ea256d71ba20082,2,1,1,work,False
md5::12f7804c07bd9f9b629eee4e16f90dfb,2,1,1,work,False
md5::133427e36842684be717800338e8cefc,2,1,1,work,False
md5::139d2dec0e684b27d8567d3cb77ec480,2,1,1,inaction,False
