label,folder_rel,frame_count,unique_sizes,has_size_variability,width_min,width_median,width_max,height_min,height_median,height_max,aspect_ratio_min,aspect_ratio_median,aspect_ratio_max
inaction,inaction/(1),14,13,True,205.0,217.5,242.0,311.0,327.5,367.0,0.5694822888283378,0.6611378608887146,0.7682539682539683
inaction,inaction/(10),32,26,True,107.0,132.5,196.0,224.0,232.5,239.0,0.4476987447698745,0.5711405904538952,0.8558951965065502
inaction,inaction/(11),16,12,True,63.0,68.0,73.0,153.0,155.0,162.0,0.391304347826087,0.43878273177636234,0.474025974025974
inaction,inaction/(12),16,14,True,148.0,151.0,169.0,252.0,405.0,423.0,0.3578199052132701,0.37594150310627306,0.5970149253731343
inaction,inaction/(13),16,16,True,141.0,157.5,166.0,267.0,300.0,311.0,0.5048231511254019,0.5238325281803542,0.6029411764705882
inaction,inaction/(14),98,61,True,113.0,130.0,140.0,300.0,305.0,314.0,0.35987261146496813,0.42671009771986973,0.46357615894039733
inaction,inaction/(2),66,61,True,237.0,256.0,338.0,396.0,431.0,499.0,0.52,0.5825585860388645,0.7004608294930875
inaction,inaction/(3),128,96,True,147.0,184.0,211.0,211.0,237.5,406.0,0.4092071611253197,0.7920353982300885,0.9213973799126638
inaction,inaction/(4),24,19,True,51.0,57.5,67.0,78.0,111.0,114.0,0.45132743362831856,0.5087683689210035,0.8375
inaction,inaction/(5),16,16,True,124.0,177.0,202.0,155.0,207.0,213.0,0.625615763546798,0.8714285714285714,1.135483870967742
inaction,inaction/(6),24,16,True,121.0,143.5,146.0,362.0,363.5,374.0,0.32620320855614976,0.3942299709422997,0.4005524861878453
inaction,inaction/(7),144,97,True,211.0,239.0,299.0,420.0,455.5,481.0,0.46373626373626375,0.5359552377489597,0.65
inaction,inaction/(8),32,25,True,304.0,336.0,350.0,305.0,315.0,333.0,0.9429429429429429,1.0516604623824453,1.1189710610932475
inaction,inaction/(9),64,55,True,175.0,199.5,285.0,293.0,411.5,438.0,0.4472361809045226,0.48407462935199064,0.7108843537414966
inaction,inaction/14,8,7,True,101.0,104.0,107.0,233.0,234.0,237.0,0.4279661016949153,0.4423076923076923,0.4533898305084746
inaction,inaction/146,8,8,True,114.0,148.5,163.0,291.0,335.5,352.0,0.35919540229885055,0.43048369138066545,0.49393939393939396
inaction,inaction/32,8,8,True,136.0,139.5,150.0,257.0,264.5,267.0,0.5112781954887218,0.5396587847949715,0.5639097744360902
inaction,inaction/692,8,6,True,46.0,48.0,49.0,119.0,121.0,125.0,0.376,0.39346905865752874,0.4049586776859504
inaction,inaction/tr_00012321,120,111,True,184.0,207.5,244.0,379.0,400.0,427.0,0.45232273838630804,0.5167401801181949,0.61
