md5,sample_count,split_count,label_count,folder_count
045454ec8b6400364f66e08237265e3d,3,2,2,2
19f6c562145a9f57987e2b45bd61caad,2,2,1,2
26a7847e2fc0681d8a3f511840e15aa4,2,2,2,2
305791a66411448f819247cc7621666a,2,2,2,2
32cffb03d98761cd9863443b926bd97d,2,2,1,2
38e307218ee88ee855b2429049ca7868,2,2,2,2
401bdb43b9e4a3f03de930e8cf72dd6c,2,2,2,2
436657b4ae54eb9054e442e331f4d193,2,2,1,2
458a5f61e24f821f0b7d41c28d118ca4,2,2,2,2
572e3ccb505293ebab41d48cfdd6f978,2,2,1,2
57f8a4322e1f915a6c9fdef78b7eee1b,2,2,2,2
5a4fdb23b3546c163885306a14429216,2,2,1,2
64075be8e325987a627e4f21927fc282,2,2,2,2
9b7a4ae0e59cc96a6caf2ac1351a7945,2,2,2,2
a8f3d0d0049ca83dc55ad377bca12dc5,2,2,2,2
aeced0b58da38c083e662ff2c0c7851e,17,2,2,2
baa0d96c448a06e6f2733811e946f8a7,2,2,2,2
cadd281c3ce6da4dec5d9aca5205d65f,2,2,2,2
cfc0ccb909fca26381ccc31d1e414742,2,2,2,2
d3fa158588fb0fdba32f6928587ffe76,2,2,2,2
e0b899974ae2cb76a9520f66bf05fb30,2,2,1,2
e29177e04f2973a808e0eb724128677d,2,2,2,2
