sample_id,label,folder_rel,sample_kind,group_key,frame_count,unique_sizes,has_size_variability,width_min,width_median,width_max,height_min,height_median,height_max,aspect_ratio_min,aspect_ratio_median,aspect_ratio_max
inaction/(10)::0,inaction,inaction/(10),prefixed_8,0,8,8,True,107.0,109.5,116.0,234.0,235.0,239.0,0.4476987447698745,0.46399841988077284,0.49361702127659574
inaction/(10)::1,inaction,inaction/(10),prefixed_8,1,8,8,True,107.0,115.5,135.0,232.0,236.5,239.0,0.4476987447698745,0.4862780555260079,0.5818965517241379
inaction/(10)::2,inaction,inaction/(10),prefixed_8,2,8,8,True,132.0,136.5,176.0,226.0,228.0,233.0,0.5665236051502146,0.6026470702896574,0.7685589519650655
inaction/(10)::3,inaction,inaction/(10),prefixed_8,3,8,8,True,137.0,149.0,196.0,224.0,226.0,230.0,0.6061946902654868,0.6607177974434613,0.8558951965065502
inaction/(11)::0,inaction,inaction/(11),prefixed_8,0,8,7,True,63.0,66.5,73.0,153.0,155.5,162.0,0.391304347826087,0.4305555555555556,0.474025974025974
inaction/(11)::1,inaction,inaction/(11),prefixed_8,1,8,6,True,65.0,68.0,69.0,153.0,154.0,158.0,0.4177215189873418,0.43878273177636234,0.45098039215686275
inaction/(12)::0,inaction,inaction/(12),prefixed_8,0,8,6,True,151.0,151.0,153.0,419.0,420.5,423.0,0.3578199052132701,0.3598566914917626,0.3617021276595745
inaction/(12)::1,inaction,inaction/(12),prefixed_8,1,8,8,True,148.0,157.0,169.0,252.0,371.5,391.0,0.39018087855297157,0.43825845204756686,0.5970149253731343
inaction/(13)::0,inaction,inaction/(13),prefixed_8,0,8,8,True,141.0,162.5,166.0,267.0,278.5,307.0,0.5217391304347826,0.5481360839667029,0.6029411764705882
inaction/(13)::1,inaction,inaction/(13),prefixed_8,1,8,8,True,156.0,157.0,159.0,287.0,307.5,311.0,0.5048231511254019,0.5129451193967323,0.5470383275261324
inaction/(3)::0,inaction,inaction/(3),prefixed_8,0,8,7,True,198.0,200.0,203.0,239.0,240.5,242.0,0.8215767634854771,0.8329846582984659,0.8458333333333333
inaction/(3)::1,inaction,inaction/(3),prefixed_8,1,8,8,True,177.0,182.5,184.0,211.0,225.0,233.0,0.776824034334764,0.8156397542521878,0.8530805687203792
inaction/(3)::10,inaction,inaction/(3),prefixed_8,10,8,8,True,147.0,176.5,190.0,236.0,293.5,329.0,0.47572815533980584,0.6336979747305834,0.7415254237288136
inaction/(3)::11,inaction,inaction/(3),prefixed_8,11,8,6,True,202.0,205.0,208.0,238.0,239.0,240.0,0.8451882845188284,0.8559536262203626,0.8739495798319328
inaction/(3)::12,inaction,inaction/(3),prefixed_8,12,8,5,True,177.0,181.5,184.0,235.0,237.0,239.0,0.75,0.765788302323511,0.773109243697479
inaction/(3)::13,inaction,inaction/(3),prefixed_8,13,8,7,True,179.0,182.0,189.0,234.0,235.0,238.0,0.7563025210084033,0.772836278398846,0.8076923076923077
inaction/(3)::14,inaction,inaction/(3),prefixed_8,14,8,7,True,152.0,181.5,184.0,232.0,239.0,241.0,0.6551724137931034,0.7615062761506276,0.773109243697479
inaction/(3)::15,inaction,inaction/(3),prefixed_8,15,8,6,True,177.0,179.0,181.0,224.0,226.0,227.0,0.7797356828193832,0.793795476892822,0.8008849557522124
inaction/(3)::2,inaction,inaction/(3),prefixed_8,2,8,7,True,169.0,187.0,194.0,232.0,233.0,235.0,0.7253218884120172,0.7990685782120355,0.8290598290598291
inaction/(3)::3,inaction,inaction/(3),prefixed_8,3,8,8,True,160.0,172.0,187.0,328.0,372.5,406.0,0.4092071611253197,0.4567258063318307,0.5365853658536586
inaction/(3)::4,inaction,inaction/(3),prefixed_8,4,8,7,True,189.0,193.5,195.0,230.0,232.5,235.0,0.8170212765957446,0.8344124611513986,0.8391304347826087
inaction/(3)::5,inaction,inaction/(3),prefixed_8,5,8,7,True,190.0,202.5,211.0,227.0,231.0,233.0,0.8275862068965517,0.8710884095397236,0.9213973799126638
inaction/(3)::6,inaction,inaction/(3),prefixed_8,6,8,8,True,168.0,182.5,196.0,234.0,256.0,326.0,0.5797546012269938,0.6816790123456791,0.7689075630252101
inaction/(3)::7,inaction,inaction/(3),prefixed_8,7,8,7,True,196.0,201.0,205.0,239.0,240.5,242.0,0.8166666666666667,0.8340392561983472,0.8577405857740585
inaction/(3)::8,inaction,inaction/(3),prefixed_8,8,8,8,True,175.0,182.5,187.0,236.0,239.5,262.0,0.6946564885496184,0.7552164933770118,0.7791666666666667
inaction/(3)::9,inaction,inaction/(3),prefixed_8,9,8,7,True,200.0,205.0,210.0,233.0,235.0,240.0,0.8583690987124464,0.8691773504273504,0.8860759493670886
inaction/(4)::0,inaction,inaction/(4),prefixed_8,0,8,7,True,52.0,54.0,65.0,79.0,111.0,114.0,0.46017699115044247,0.4843146718146718,0.8227848101265823
inaction/(4)::1,inaction,inaction/(4),prefixed_8,1,8,7,True,54.0,65.0,67.0,78.0,80.0,113.0,0.4954128440366973,0.8125,0.8375
inaction/(4)::2,inaction,inaction/(4),prefixed_8,2,8,7,True,51.0,57.5,60.0,111.0,113.0,114.0,0.45132743362831856,0.5066759819903741,0.5315315315315315
inaction/(5)::0,inaction,inaction/(5),prefixed_8,0,8,8,True,178.0,190.5,202.0,206.0,210.0,213.0,0.8356807511737089,0.9161000068686036,0.957345971563981
inaction/(5)::1,inaction,inaction/(5),prefixed_8,1,8,8,True,124.0,149.0,176.0,155.0,200.5,211.0,0.625615763546798,0.7270117625093353,1.135483870967742
inaction/(6)::0,inaction,inaction/(6),prefixed_8,0,8,5,True,141.0,144.0,146.0,363.0,365.0,370.0,0.38524590163934425,0.3956444047353138,0.3972602739726027
inaction/(6)::1,inaction,inaction/(6),prefixed_8,1,8,7,True,142.0,144.0,145.0,362.0,363.0,364.0,0.3901098901098901,0.3961493052402143,0.4005524861878453
inaction/(6)::2,inaction,inaction/(6),prefixed_8,2,8,5,True,121.0,121.5,124.0,362.0,366.5,374.0,0.32620320855614976,0.33379373848987104,0.33604336043360433
inaction/(7)::0,inaction,inaction/(7),prefixed_8,0,8,7,True,232.0,235.0,258.0,420.0,440.0,442.0,0.5248868778280543,0.5334985930590915,0.6142857142857143
inaction/(7)::1,inaction,inaction/(7),prefixed_8,1,8,6,True,234.0,237.5,239.0,439.0,440.0,442.0,0.5294117647058824,0.5397727272727273,0.5444191343963554
inaction/(7)::10,inaction,inaction/(7),prefixed_8,10,8,8,True,239.0,260.0,295.0,459.0,464.0,476.0,0.5021008403361344,0.560383107593408,0.6413043478260869
inaction/(7)::11,inaction,inaction/(7),prefixed_8,11,8,8,True,274.0,280.5,295.0,457.0,459.0,460.0,0.5969498910675382,0.6117805156502711,0.6413043478260869
inaction/(7)::12,inaction,inaction/(7),prefixed_8,12,8,6,True,281.0,283.5,289.0,458.0,459.0,460.0,0.6108695652173913,0.6183225352246673,0.6296296296296297
inaction/(7)::13,inaction,inaction/(7),prefixed_8,13,8,8,True,267.0,281.5,299.0,456.0,458.5,462.0,0.5842450765864332,0.6112950230597289,0.65
